State,;,",",=,(,),{,},if,else,for,while,return,==,!=,>,<,>=,<=,+,-,*,/,int,float,char,double,string,void,<id>,<num>,<str>,<flt>,$
23,r58,r58,r58,r58,r58,,,,,,,,r58,r58,r58,r58,r58,r58,r58,r58,r58,r58,,,,,,,,,,,
24,,,,,,,r1,,,,,,,,,,,,,,,,,,,,,,,,,,r1
25,,,,,,,r7,r7,,r7,r7,r7,,,,,,,,,,,r7,r7,r7,r7,r7,r7,r7,,,,r7
26,,,,,,,r8,r8,,r8,r8,r8,,,,,,,,,,,r8,r8,r8,r8,r8,r8,r8,,,,r8
27,,,,,,,r9,r9,,r9,r9,r9,,,,,,,,,,,r9,r9,r9,r9,r9,r9,r9,,,,r9
28,,,,,,,r10,r10,,r10,r10,r10,,,,,,,,,,,r10,r10,r10,r10,r10,r10,r10,,,,r10
29,r14,r14,s53,s52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,r11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,r13,s54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,,,s39,,,,,,,,,,,,,,,s46,s47,,,,,,,,,s23,s45,s48,s49,
33,,,,,,,,,,,,,,,,,,,,,,,s17,s18,s19,s20,s21,s22,,,,,
34,,,,s39,,,,,,,,,,,,,,,s46,s47,,,,,,,,,s23,s45,s48,s49,
35,r26,,,,,,,,,,,,s59,s60,s61,s62,s63,s64,,,,,,,,,,,,,,,
36,r34,r34,,,r34,,,,,,,,r34,r34,r34,r34,r34,r34,s65,s66,,,,,,,,,,,,,
37,r37,r37,,,r37,,,,,,,,r37,r37,r37,r37,r37,r37,r37,r37,s67,s68,,,,,,,,,,,
38,r40,r40,,,r40,,,,,,,,r40,r40,r40,r40,r40,r40,r40,r40,r40,r40,,,,,,,,,,,
39,,,,s39,,,,,,,,,,,,,,,s46,s47,,,,,,,,,s23,s45,s48,s49,
40,r42,r42,,s51,r42,,,,,,,,r42,r42,r42,r42,r42,r42,r42,r42,r42,r42,,,,,,,,,,,
41,r43,r43,,,r43,,,,,,,,r43,r43,r43,r43,r43,r43,r43,r43,r43,r43,,,,,,,,,,,
42,r44,r44,,,r44,,,,,,,,r44,r44,r44,r44,r44,r44,r44,r44,r44,r44,,,,,,,,,,,
43,r45,r45,,,r45,,,,,,,,r45,r45,r45,r45,r45,r45,r45,r45,r45,r45,,,,,,,,,,,
44,r46,r46,,,r46,,,,,,,,r46,r46,r46,r46,r46,r46,r46,r46,r46,r46,,,,,,,,,,,
45,r59,r59,,,r59,,,,,,,,r59,r59,r59,r59,r59,r59,r59,r59,r59,r59,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s70,,s71,
47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s72,,s73,
48,r62,r62,,,r62,,,,,,,,r62,r62,r62,r62,r62,r62,r62,r62,r62,r62,,,,,,,,,,,
49,r63,r63,,,r63,,,,,,,,r63,r63,r63,r63,r63,r63,r63,r63,r63,r63,,,,,,,,,,,
50,,,,s39,,,,,,,,,,,,,,,s46,s47,,,,,,,,,s23,s45,s48,s49,
51,,r51,,s39,r51,,,,,,,,,,,,,,s46,s47,,,,,,,,,s23,s45,s48,s49,
52,,r20,,,r20,,,,,,,,,,,,,,,,,,s17,s18,s19,s20,s21,s22,,,,,
53,,,,s39,,,,,,,,,,,,,,,s46,s47,,,,,,,,,s23,s45,s48,s49,
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23,,,,
55,,,,,s84,,,,,,,,s59,s60,s61,s62,s63,s64,,,,,,,,,,,,,,,
56,s85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s23,,,,
58,,,,,s86,,,,,,,,s59,s60,s61,s62,s63,s64,,,,,,,,,,,,,,,
59,,,,s39,,,,,,,,,,,,,,,s46,s47,,,,,,,,,s23,s45,s48,s49,
60,,,,s39,,,,,,,,,,,,,,,s46,s47,,,,,,,,,s23,s45,s48,s49,
